2000-AGR-162->[ACPAI-2003-080, 2003-AGR-225, 2002-FQM-131]
2009-FQM-177->[2004-FQM-109, 1997-FQM-163, 2002-FQM-109]
2011-SEJ-119->[ACC-722-HUM-2002, 2002-SEJ-107, 2002-SEJ-400]
2011-SEJ-115->[2005-SEJ-339, 2008-SEJ-199, 2011-SEJ-496]
2009-FQM-181->[ACPAI-2003-080, 2011-FQM-239, 2008-FQM-128]
2006-AGR-162->[ACC-948-SEJ-2002, ACC-368-CVI-2001, 2003-CVI-113]
OTRI-AGR-167->[2005-CTS-178, 2000-FQM-282, 2003-HUM-152]
2011-SEJ-112->[2011-SEJ-494, 2008-SEJ-115, 2007-SEJ-380]
2011-TIC-203->[AC-TEP 113, ACC-948-SEJ-2002, 2002-TIC-155]
ACC-361-FQM-2001->[ACPAI-2003-082, ACPAI-2003-080, ACC-357-SEJ-2001]
2011-TIC-201->[2004-TIC-153, 2006-TIC-180, 2003-HUM-360]
2000-AGR-155->[2006-RNM-318, 2009-FQM-262, 2009-CTS-480]
2011-TIC-205->[ACC-768-TEP-2002, 2006-TIC-179, 2006-TIC-201]
2006-AGR-167->[ACC-357-SEJ-2001, ACC-384-HUM-2001, 2004-SEJ-415]
2011-TIC-204->[2005-TIC-112, 2004-TIC-178, 2006-TIC-154]
ACC-366-SEJ-2001->[ACPAI-2003-080, ACC-384-HUM-2001, ACC-1015-TEP-2002]
2000-AGR-153->[ACC-384-HUM-2001, ACC-754-FQM-2002, ACC-368-CVI-2001]
109-01->[ACPAI-2003-080, ACPAI-2003-095, 2008-RNM-331]
2005-HUM-259->[2003-HUM-197, 1997-HUM-398, 2003-HUM-376]
109-02->[2003-FQM-123, 2000-FQM-196, 2003-HUM-287]
2005-HUM-258->[2003-HUM-452, 2004-HUM-804, 2003-HUM-625]
2009-SEJ-301->[2002-SEJ-298, 2008-SEJ-136, 2011-SEJ-400]
2005-HUM-252->[2003-HUM-423, 1997-HUM-212, 2003-HUM-752]
2011-SEJ-128->[2002-SEJ-164, 2003-SEJ-158, 2003-SEJ-193]
2000-HUM-390->[2011-HUM-327, 2010-HUM-301, 2009-HUM-156]
2000-HUM-395->[2007-HUM-173, 2000-HUM-371, 2002-HUM-694]
2000-HUM-397->[2011-HUM-144, 2002-HUM-304, 2004-HUM-241]
2000-HUM-396->[2011-HUM-131, 1997-HUM-416, 2009-HUM-659]
2000-HUM-399->[2006-HUM-303, 2003-HUM-649, 2003-HUM-779]
2005-HUM-249->[2011-HUM-210, 2007-HUM-327, 2011-HUM-399]
2000-HUM-398->[2010-HUM-547, 1997-HUM-298, 2003-HUM-909]
